date,records_count,payload_timestamp,payload_category,payload_dataset,payload_status,payload_metrics_sea_surface_temp_k,payload_metrics_wind_speed_ms,payload_metrics_atmospheric_pressure_hpa,payload_metrics_cyclone_present
"2018-09-01","1","2018-09-01T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.49930497034444","15.352889400129538","1001.7685379983471","true"
"2018-09-02","1","2018-09-02T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.9284426158873","17.962083200251858","993.4126215845031","false"
"2018-09-03","1","2018-09-03T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.2001445937576","19.698331791568894","988.1333361784692","false"
"2018-09-04","1","2018-09-04T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.7131910770751","21.190333846085046","992.0719876167876","false"
"2018-09-05","1","2018-09-05T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.62613181042076","12.604553340538361","1004.3648879239164","true"
"2018-09-06","1","2018-09-06T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","299.12086849848276","14.027086488248337","993.2908342403965","false"
"2018-09-07","1","2018-09-07T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","296.77085816757074","15.312651416391674","1006.1165996858972","false"
"2018-09-08","1","2018-09-08T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.2606590162373","19.778612373527057","1001.4973683330891","false"
"2018-09-09","1","2018-09-09T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.8566796920664","20.917782018511062","994.0996006698779","true"
"2018-09-10","1","2018-09-10T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.4599363512183","20.464347882701013","1007.7153650895367","false"
"2018-09-11","1","2018-09-11T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.33072405713915","16.99507000877027","1002.1533898805598","false"
"2018-09-12","1","2018-09-12T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.323479839064","17.48875708861508","994.71361668802","false"
"2018-09-13","1","2018-09-13T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.2628754600721","18.532968210283762","1007.3603107653007","true"
"2018-09-14","1","2018-09-14T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.47420622149565","14.970253633469028","1002.7164878828561","false"
"2018-09-15","1","2018-09-15T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.45533050678296","18.94841797433297","999.3212882350094","false"
"2018-09-16","1","2018-09-16T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","296.85127405666765","16.699513161365957","988.6748854333599","false"
"2018-09-17","1","2018-09-17T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","299.43297025188144","17.436112821500654","989.0002717502273","false"
"2018-09-18","1","2018-09-18T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","296.8011914458928","20.28030128040826","1003.8601547623551","true"
"2018-09-19","1","2018-09-19T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.3635802306936","12.43710958015665","999.3236419567703","false"
"2018-09-20","1","2018-09-20T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.0214664312086","15.186940633368058","994.8642935673656","false"
"2018-09-21","1","2018-09-21T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.5886624311935","22.028739734442105","989.0555657611479","true"
"2018-09-22","1","2018-09-22T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","296.76323108389806","17.13191561336707","988.3086935307228","false"
"2018-09-23","1","2018-09-23T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.15600363144915","14.957486339566898","989.5136133976405","false"
"2018-09-24","1","2018-09-24T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.4687890099327","12.506744679203262","1000.004828143854","false"
"2018-09-25","1","2018-09-25T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.70505308064435","21.803620295076605","999.0497994957071","false"
"2018-09-26","1","2018-09-26T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","299.2150771156888","12.477024753867465","997.6684160908317","false"
"2018-09-27","1","2018-09-27T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.90411677935265","16.71811416418117","988.9170952945595","false"
"2018-09-28","1","2018-09-28T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.3206937020559","12.552931748923505","990.024677127908","false"
"2018-09-29","1","2018-09-29T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","298.3594159626592","18.99861113811949","998.2480476547037","false"
"2018-09-30","1","2018-09-30T12:00:00Z","sst","oceansat3_sst","ARCHIVED_VALIDATED","297.33849461072595","19.59451987914806","996.4917448309573","false"
